geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
SE,Sweden,SE,SE,SWE,2025,False,ai_and_data_analytics_pct,23.21
SI,Slovenia,SI,SI,SVN,2025,False,ai_and_data_analytics_pct,13.9
SK,Slovakia,SK,SK,SVK,2025,False,ai_and_data_analytics_pct,12.81
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_and_data_analytics_pct,13.82
AT,Austria,AT,AT,AUT,2025,False,ai_sophisticated_cloud_and_data_pct,11.11
BE,Belgium,BE,BE,BEL,2025,False,ai_sophisticated_cloud_and_data_pct,22.78
BG,Bulgaria,BG,BG,BGR,2025,False,ai_sophisticated_cloud_and_data_pct,3.63
CY,Cyprus,CY,CY,CYP,2025,False,ai_sophisticated_cloud_and_data_pct,6.41
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_sophisticated_cloud_and_data_pct,11.04
DE,Germany,DE,DE,DEU,2025,False,ai_sophisticated_cloud_and_data_pct,12.93
DK,Denmark,DK,DK,DNK,2025,False,ai_sophisticated_cloud_and_data_pct,29.91
EE,Estonia,EE,EE,EST,2025,False,ai_sophisticated_cloud_and_data_pct,16.15
EL,Greece,EL,GR,GRC,2025,False,ai_sophisticated_cloud_and_data_pct,4.67
ES,Spain,ES,ES,ESP,2025,False,ai_sophisticated_cloud_and_data_pct,10.7
FI,Finland,FI,FI,FIN,2025,False,ai_sophisticated_cloud_and_data_pct,25.48
FR,France,FR,FR,FRA,2025,False,ai_sophisticated_cloud_and_data_pct,8.31
HR,Croatia,HR,HR,HRV,2025,False,ai_sophisticated_cloud_and_data_pct,9.52
HU,Hungary,HU,HU,HUN,2025,False,ai_sophisticated_cloud_and_data_pct,5.71
IE,Ireland,IE,IE,IRL,2025,False,ai_sophisticated_cloud_and_data_pct,13.46
IT,Italy,IT,IT,ITA,2025,False,ai_sophisticated_cloud_and_data_pct,10.17
LT,Lithuania,LT,LT,LTU,2025,False,ai_sophisticated_cloud_and_data_pct,14.61
LU,Luxembourg,LU,LU,LUX,2025,False,ai_sophisticated_cloud_and_data_pct,14.29
LV,Latvia,LV,LV,LVA,2025,False,ai_sophisticated_cloud_and_data_pct,8.17
MT,Malta,MT,MT,MLT,2025,False,ai_sophisticated_cloud_and_data_pct,13.6
NL,Netherlands,NL,NL,NLD,2025,False,ai_sophisticated_cloud_and_data_pct,23.72
PL,Poland,PL,PL,POL,2025,False,ai_sophisticated_cloud_and_data_pct,5.29
PT,Portugal,PT,PT,PRT,2025,False,ai_sophisticated_cloud_and_data_pct,7.21
RO,Romania,RO,RO,ROU,2025,False,ai_sophisticated_cloud_and_data_pct,2.81
SE,Sweden,SE,SE,SWE,2025,False,ai_sophisticated_cloud_and_data_pct,20.86
SI,Slovenia,SI,SI,SVN,2025,False,ai_sophisticated_cloud_and_data_pct,10.94
SK,Slovakia,SK,SK,SVK,2025,False,ai_sophisticated_cloud_and_data_pct,8.63
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_sophisticated_cloud_and_data_pct,11.06
AT,Austria,AT,AT,AUT,2025,False,ai_three_or_more_technologies_pct,12.85
BE,Belgium,BE,BE,BEL,2025,False,ai_three_or_more_technologies_pct,15.66
BG,Bulgaria,BG,BG,BGR,2025,False,ai_three_or_more_technologies_pct,3.96
CY,Cyprus,CY,CY,CYP,2025,False,ai_three_or_more_technologies_pct,4.79
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_three_or_more_technologies_pct,7.66
DE,Germany,DE,DE,DEU,2025,False,ai_three_or_more_technologies_pct,10.19
