geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
BG,Bulgaria,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.89
BG,Bulgaria,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.05
BG,Bulgaria,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.8
BG,Bulgaria,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,0.91
CY,Cyprus,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.12
CY,Cyprus,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.47
CY,Cyprus,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.1
CY,Cyprus,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,2.74
CY,Cyprus,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.37
CY,Cyprus,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.82
CY,Cyprus,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.65
CY,Cyprus,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,1.25
DE,Germany,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,12.16
DE,Germany,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,6.56
DE,Germany,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.86
DE,Germany,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.57
DE,Germany,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,9.19
DE,Germany,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,14.6
DE,Germany,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,12.61
DE,Germany,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,3.66
DK,Denmark,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,12.76
DK,Denmark,2025,2025,E_AI_BCST,Costs too high,"Enterprises do not use AI technologies, because the costs seem too high",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.04
DK,Denmark,2025,2025,E_AI_BDDT,Problems with data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,10.9
DK,Denmark,2025,2025,E_AI_BEC,Ethical considerations,"Enterprises do not use AI technologies, because of ethical considerations",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.02
DK,Denmark,2025,2025,E_AI_BINC,Incompatibility with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,8.79
DK,Denmark,2025,2025,E_AI_BLE,Lack of relevant expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,23.01
DK,Denmark,2025,2025,E_AI_BLEG,Legal uncertainty,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,13.37
DK,Denmark,2025,2025,E_AI_BNU,AI not useful for the enterprise,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,4.5
EL,Greece,2025,2025,E_AI_BCDP,Data protection and privacy concerns,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",AI barrier among non-users,PC_ENT_AI_TX,Percentage of the enterprises using no AI technologies,5.69
