geo,geo_label,ai_adoption_pct,ai_two_or_more_technologies_pct,ai_three_or_more_technologies_pct,ai_and_data_analytics_pct,ai_and_cloud_pct,ai_sophisticated_cloud_and_data_pct,cloud_data_but_no_ai_pct,ai_without_sophisticated_cloud_or_data_pct,cloud_use_pct,sophisticated_or_intermediate_cloud_pct,cloud_and_data_analytics_pct,data_analytics_pct,data_analytics_3_sources_pct,dii_at_least_basic_pct,dii_high_pct,dii_very_high_pct,dii_low_pct,dii_very_low_pct,is_eu_aggregate,geo_eurostat,iso_a2,iso_a3,year,source,ai_gap_to_eu_pp,cloud_gap_to_eu_pp,data_analytics_gap_to_eu_pp,dii_high_gap_to_eu_pp,ai_rank_eu27,digital_maturity_score_simple,digital_maturity_minus_ai_pp
IT,Italy,16.4,10.55,6.46,11.5,14.95,10.17,23.62,0.89,75.6,68.05,35.98,42.71,14.65,79.81,30.22,7.93,41.66,20.19,False,IT,IT,ITA,2025,Eurostat,-3.55,22.86,2.86,2.68,18,47.25,30.85
HR,Croatia,15.19,10.46,6.87,12.01,11.93,9.52,16.09,1.25,46.61,43.3,27.52,41.9,19.39,58.13,21.98,7.39,28.76,41.87,False,HR,HR,HRV,2025,Eurostat,-4.76,-6.13,2.05,-5.56,19,35.2,20.01
LV,Latvia,12.21,9.04,5.66,9.72,10.84,8.17,14.51,0.72,44.08,37.8,25.48,36.37,21.63,59.52,20.61,7.81,31.1,40.48,False,LV,LV,LVA,2025,Eurostat,-7.74,-8.66,-3.48,-6.93,20,33.68,21.47
PT,Portugal,11.54,8.04,5.2,8.87,8.68,7.21,14.96,1.56,38.71,34.11,23.9,44.98,22.65,64.67,21.84,7.69,35.14,35.33,False,PT,PT,PRT,2025,Eurostat,-8.41,-14.03,5.13,-5.7,21,35.58,24.04
HU,Hungary,10.37,7.03,4.69,6.84,8.66,5.71,17.02,1.02,47.96,40.82,25.31,40.56,8.99,60.8,21.85,6.18,32.77,39.2,False,HU,HU,HUN,2025,Eurostat,-9.58,-4.78,0.71,-5.69,22,35.47,25.1
CY,Cyprus,9.27,6.73,4.79,7.21,7.89,6.41,20.9,0.72,51.38,48.45,28.06,42.84,21.41,74.85,30.14,7.5,37.21,25.15,False,CY,CY,CYP,2025,Eurostat,-10.68,-1.36,2.99,2.6,23,41.34,32.07
EL,Greece,8.93,5.73,3.85,6.33,6.5,4.67,8.49,1.23,24.33,21.25,14.58,31.45,13.0,56.48,19.28,6.25,30.95,43.52,False,EL,GR,GRC,2025,Eurostat,-11.02,-28.41,-8.4,-8.26,24,27.56,18.63
BG,Bulgaria,8.55,5.97,3.96,5.68,5.34,3.63,6.07,1.53,17.83,15.74,10.32,27.06,13.21,39.35,11.4,2.04,25.91,60.65,False,BG,BG,BGR,2025,Eurostat,-11.4,-34.91,-12.79,-16.14,25,19.54,10.99
PL,Poland,8.36,4.28,2.4,6.12,7.69,5.29,12.76,0.51,54.71,45.77,20.24,24.5,10.64,60.23,22.1,6.3,31.84,39.77,False,PL,PL,POL,2025,Eurostat,-11.59,1.97,-15.35,-5.44,26,33.57,25.21
RO,Romania,5.21,4.41,3.31,3.83,3.89,2.81,11.38,0.56,24.94,22.13,15.55,35.07,18.36,45.53,14.45,2.7,28.38,54.47,False,RO,RO,ROU,2025,Eurostat,-14.74,-27.8,-4.78,-13.09,27,24.54,19.33
