geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
DE,Germany,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,7.18
DE,Germany,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,7.12
DE,Germany,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,5.36
DE,Germany,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.19
DE,Germany,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,9.1
DE,Germany,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,5.49
DE,Germany,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,3.33
DK,Denmark,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,10.02
DK,Denmark,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,11.59
DK,Denmark,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,9.42
DK,Denmark,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,3.64
DK,Denmark,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,11.37
DK,Denmark,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,6.14
DK,Denmark,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,4.9
EE,Estonia,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,11.4
