geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
CY,Cyprus,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,2.87
CY,Cyprus,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,4.68
CY,Cyprus,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,3.2
CY,Cyprus,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,5.95
CZ,Czechia,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.1
CZ,Czechia,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.1
CZ,Czechia,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,6.91
CZ,Czechia,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,12.78
CZ,Czechia,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,4.07
CZ,Czechia,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,9.68
CZ,Czechia,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,3.57
CZ,Czechia,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,7.15
DE,Germany,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.51
DE,Germany,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,4.34
DE,Germany,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,6.04
DE,Germany,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,9.02
DE,Germany,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,6.96
DE,Germany,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,13.52
DE,Germany,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,10.9
DE,Germany,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,13.5
DK,Denmark,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,4.38
DK,Denmark,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,7.28
DK,Denmark,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,12.75
DK,Denmark,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,30.76
DK,Denmark,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,15.19
DK,Denmark,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,17.66
DK,Denmark,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,15.17
DK,Denmark,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,29.1
EE,Estonia,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.79
EE,Estonia,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,3.88
EE,Estonia,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,3.87
EE,Estonia,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,15.07
EE,Estonia,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,3.33
EE,Estonia,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,6.46
EE,Estonia,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,4.68
EE,Estonia,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,12.02
EL,Greece,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.38
EL,Greece,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.06
